Division,Envelope,N (sample),"N (weighted, M)",Mean HDD65,Mean Sqft,Mean I (×10³)
East North Central,Poor,152,1.66,5730,1486,7.87
East North Central,Medium,892,8.16,5858,1867,6.2
East North Central,Good,430,3.38,5868,2409,4.7
East South Central,Poor,54,0.28,3082,1537,10.21
East South Central,Medium,273,1.43,3110,1817,7.71
East South Central,Good,160,0.73,3220,2323,5.77
Middle Atlantic,Poor,132,1.34,4907,1195,8.16
Middle Atlantic,Medium,830,6.71,4907,1637,7.26
Middle Atlantic,Good,248,1.6,4984,2193,5.97
Mountain North,Poor,54,0.25,5854,1370,6.57
Mountain North,Medium,444,1.74,5883,1924,5.17
Mountain North,Good,375,1.45,5803,2424,4.27
Mountain South,Poor,30,0.16,2894,1044,10.76
Mountain South,Medium,274,1.31,2673,1625,8.48
Mountain South,Good,188,0.82,2549,2132,7.51
New England,Poor,68,0.35,5524,1232,7.77
New England,Medium,376,1.6,5560,1453,6.94
New England,Good,171,0.51,5649,1949,4.44
Pacific,Poor,104,1.02,2183,1347,12.44
Pacific,Medium,712,6.01,2321,1645,10.25
Pacific,Good,388,2.42,2857,2098,7.89
South Atlantic,Poor,89,0.5,3055,1611,9.58
South Atlantic,Medium,614,3.79,3068,1831,7.8
South Atlantic,Good,397,2.35,3047,2462,6.28
West North Central,Poor,102,0.63,5894,1403,7.49
West North Central,Medium,675,3.34,6011,1941,5.47
West North Central,Good,390,1.52,6192,2286,4.2
West South Central,Poor,60,0.5,2024,1337,12.11
West South Central,Medium,453,3.48,1949,1788,10.65
West South Central,Good,252,1.72,1930,2321,8.36
