Rank,Feature,Mean |SHAP|,Importance (%)
1,A_heated,0.0012911399,29.261784
2,HDD65,0.0012483434,28.291862
3,TYPEHUQ,0.00051485986,11.668541
4,building_age,0.00038451576,8.714483
5,climate_zone,0.00017399782,3.9434042
6,log_sqft,0.00016803187,3.8081949
7,DRAFTY,0.00013472901,3.0534346
8,EQUIPM,0.00011467325,2.5989
9,DIVISION,0.000104824576,2.3756945
10,REGIONC,8.478274e-05,1.9214759
11,YEARMADERANGE,6.318623e-05,1.4320228
12,ADQINSUL,3.733723e-05,0.8461934
13,TYPEGLASS,3.45929e-05,0.7839971
14,envelope_class,3.2234773e-05,0.7305536
15,heating_equip_age,2.5126375e-05,0.5694523
