Feature,good,medium,poor
ADQINSUL,2.813914e-05,3.5805268e-05,9.048494e-05
A_heated,0.0012171846,0.0012852253,0.0014675072
DIVISION,9.188934e-05,0.00011095769,0.00010780874
DRAFTY,0.00011090658,0.00013645581,0.00021328217
EQUIPM,8.980488e-05,0.00012404774,0.00014827482
HDD65,0.0012271334,0.0012852495,0.0011756765
REGIONC,6.856704e-05,9.063562e-05,0.000101921796
TYPEGLASS,2.245743e-05,3.7732054e-05,6.635798e-05
TYPEHUQ,0.00041989208,0.0005414813,0.00069073704
YEARMADERANGE,7.077179e-05,5.8156777e-05,7.4081865e-05
building_age,0.00041874396,0.00035532884,0.00047239996
climate_zone,0.00017931206,0.0001750658,0.00016242165
envelope_class,4.714435e-05,1.2035099e-05,0.00012400156
heating_equip_age,2.4975508e-05,2.5395408e-05,2.79382e-05
log_sqft,0.00015849888,0.00017023955,0.0001766633
