Division,Envelope Class,N (sample),"N (weighted, millions)",Mean HDD65,Mean Sqft,Mean Thermal Intensity
Mountain South,poor,30,0.16,2895,1044,0.01
Mountain South,medium,274,1.31,2673,1626,0.01
Mountain South,good,188,0.82,2549,2133,0.01
South Atlantic,poor,89,0.5,3056,1611,0.01
South Atlantic,medium,614,3.79,3069,1832,0.01
South Atlantic,good,397,2.35,3048,2462,0.01
Middle Atlantic,poor,132,1.34,4908,1195,0.01
Middle Atlantic,medium,830,6.71,4907,1637,0.01
Middle Atlantic,good,248,1.6,4985,2193,0.01
West South Central,poor,60,0.5,2025,1338,0.01
West South Central,medium,453,3.48,1950,1788,0.01
West South Central,good,252,1.72,1930,2322,0.01
Pacific,poor,104,1.02,2184,1348,0.01
Pacific,medium,712,6.01,2321,1645,0.01
Pacific,good,388,2.42,2857,2099,0.01
East North Central,poor,152,1.66,5730,1487,0.01
East North Central,medium,892,8.16,5858,1868,0.01
East North Central,good,430,3.38,5868,2410,0.0
West North Central,poor,102,0.63,5894,1404,0.01
West North Central,medium,675,3.34,6011,1941,0.01
West North Central,good,390,1.52,6192,2286,0.0
New England,poor,68,0.35,5524,1233,0.01
New England,medium,376,1.6,5561,1453,0.01
New England,good,171,0.51,5650,1949,0.0
Mountain North,poor,54,0.25,5855,1371,0.01
Mountain North,medium,444,1.74,5884,1925,0.01
Mountain North,good,375,1.45,5803,2425,0.0
East South Central,poor,54,0.28,3082,1537,0.01
East South Central,medium,273,1.43,3111,1817,0.01
East South Central,good,160,0.73,3221,2324,0.01
