retrofit,heating_system,baseline_heating_btu,post_retrofit_btu,intensity_reduction_pct,retrofit_cost,hp_cost,total_capital,retrofit_annual,hp_annual_capital,annual_op_cost,total_annual_cost,annual_emissions_kg,annual_emissions_tons,household_id,envelope_class,hdd,heated_sqft,scenario_id
No Retrofit,Gas Furnace,36056.1949999998,36056.1949999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5408429249999971,0.5408429249999971,2.3887229187499868,0.002388722918749987,104732,poor,5983,1000,none_none
No Retrofit,Standard Heat Pump,36056.1949999998,36056.1949999998,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.7892058473060376,1156.8966571582378,2.209776372456905,0.0022097763724569053,104732,poor,5983,1000,none_standard_hp
No Retrofit,Cold Climate Heat Pump,36056.1949999998,36056.1949999998,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.631899519359847,1734.7930764857576,1.7693186542075718,0.0017693186542075718,104732,poor,5983,1000,none_cold_climate_hp
Air Sealing,Gas Furnace,36056.1949999998,32450.57549999982,10.0,500.0,0.0,500.0,40.12129359534564,0.0,0.4867586324999973,40.60805222784564,2.149850626874988,0.002149850626874988,104732,poor,5983,1000,air_seal_none
Air Sealing,Standard Heat Pump,36056.1949999998,32450.57549999982,10.0,500.0,12000.0,12500.0,40.12129359534564,1156.1074513109318,0.7102852625754338,1196.9390301688527,1.9887987352112146,0.0019887987352112148,104732,poor,5983,1000,air_seal_standard_hp
Air Sealing,Cold Climate Heat Pump,36056.1949999998,32450.57549999982,10.0,500.0,18000.0,18500.0,40.12129359534564,1734.1611769663978,0.5687095674238624,1774.8511801291672,1.5923867887868144,0.0015923867887868144,104732,poor,5983,1000,air_seal_cold_climate_hp
Attic Insulation,Gas Furnace,36056.1949999998,30647.765749999828,15.0,1500.0,0.0,1500.0,97.57715262041485,0.0,0.4597164862499974,98.03686910666485,2.0304144809374884,0.0020304144809374885,104732,poor,5983,1000,attic_insulation_none
Attic Insulation,Standard Heat Pump,36056.1949999998,30647.765749999828,15.0,1500.0,12000.0,13500.0,97.57715262041485,1156.1074513109318,0.6708249702101318,1254.3554289015567,1.878309916588369,0.0018783099165883689,104732,poor,5983,1000,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,36056.1949999998,30647.765749999828,15.0,1500.0,18000.0,19500.0,97.57715262041485,1734.1611769663978,0.5371145914558699,1832.2754441782686,1.5039208560764359,0.0015039208560764358,104732,poor,5983,1000,attic_insulation_cold_climate_hp
Comprehensive Retrofit,Gas Furnace,36056.1949999998,25239.33649999986,30.0,5000.0,0.0,5000.0,354.76228649614796,0.0,0.37859004749999786,355.14087654364795,1.6721060431249906,0.0016721060431249906,104732,poor,5983,1000,comprehensive_none
Comprehensive Retrofit,Standard Heat Pump,36056.1949999998,25239.33649999986,30.0,5000.0,12000.0,17000.0,354.76228649614796,1156.1074513109318,0.5524440931142263,1511.422181900194,1.5468434607198336,0.0015468434607198336,104732,poor,5983,1000,comprehensive_standard_hp
Comprehensive Retrofit,Cold Climate Heat Pump,36056.1949999998,25239.33649999986,30.0,5000.0,18000.0,23000.0,354.76228649614796,1734.1611769663978,0.4423296635518929,2089.3657931260977,1.2385230579453002,0.0012385230579453,104732,poor,5983,1000,comprehensive_cold_climate_hp
No Retrofit,Gas Furnace,73596.83799999769,73596.83799999769,0.0,0.0,0.0,0.0,0.0,0.0,1.1039525699999653,1.1039525699999653,4.875790517499846,0.0048757905174998456,111743,medium,5648,4880,none_none
No Retrofit,Standard Heat Pump,73596.83799999769,73596.83799999769,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,1.4869025331226686,1157.5943538440545,4.163327092743472,0.004163327092743472,111743,medium,5648,4880,none_standard_hp
