#{"t_start": 1764795106.362395, "env_id": "None"}
r,l,t
-1046029.886083,1440,0.67099
-47343.274012,1440,1.949227
-13736.578012,1440,3.232386
-20630.963955,1440,3.949962
-43708.332136,1440,5.24972
-136.246778,1440,6.565458
-465455.280774,1440,9.663139
-195920.941846,1440,10.985865
-29883.721596,1440,12.479795
-94911.819146,1440,13.79293
-6594.776245,1440,14.674965
-4306.860129,1440,16.02227
-548322.653051,1440,17.295455
-2683.503377,1440,20.368788
-63088.342147,1440,21.816726
-18540.11821,1440,23.212214
-489718.302851,1440,23.88136
-974167.710853,1440,25.180084
-941957.310284,1440,26.455271
-756725.434331,1440,27.73978
-5399.549117,1440,30.784166
-362299.772799,1440,32.091538
-19010.150396,1440,33.371106
-298.800181,1440,34.052598
-781897.552495,1440,35.345391
-156797.738618,1440,36.62875
-6941.667707,1440,37.298626
-320812.500244,1440,40.996166
-38262.955941,1440,42.300961
-848564.959253,1440,43.593361
-13905.009849,1440,44.264161
-27672.435668,1440,45.757307
-39848.074619,1440,47.192615
-932126.426626,1440,47.858696
-22010.314897,1440,51.59564
-1013515.11075,1440,52.883521
-358527.683652,1440,54.168998
-64643.992588,1440,54.854236
-31604.024073,1440,56.119595
-144472.156955,1440,57.405458
-521377.84134,1440,58.083532
-408.528618,1440,61.805512
-167600.909679,1440,63.129118
-560.759277,1440,63.808318
-22.321578,1440,65.110446
-6529.084046,1440,66.41633
-662843.749935,1440,67.725421
-31717.091697,1440,68.407238
-46379.459006,1440,72.368289
-915945.901915,1440,73.666138
-2574.842396,1440,74.342992
-327872.647827,1440,75.64247
-3853.779345,1440,76.939717
-923884.451267,1440,77.619289
-1261.306499,1440,78.908369
-946023.072715,1440,82.615944
-378932.847633,1440,83.892595
-1066890.356444,1440,84.556458
-846958.877658,1440,85.881632
-51379.225597,1440,87.18023
-399795.062433,1440,87.868959
-41781.648275,1440,89.365092
-798786.011329,1440,93.032871
-55724.884505,1440,93.706685
-980146.63801,1440,94.978508
-526009.779387,1440,96.246673
-348894.988964,1440,97.504843
-375690.864572,1440,98.16651
-2239.677248,1440,99.435315
