#{"t_start": 1764795920.6177638, "env_id": "None"}
r,l,t
-896026.78826,1440,0.666143
-901299.490015,1440,1.94025
-387028.299642,1440,3.201487
-871768.34581,1440,3.882197
-381142.895893,1440,5.148083
-892504.857316,1440,6.433687
-832443.803939,1440,9.563569
-371379.522181,1440,10.859494
-662851.921907,1440,12.145029
-967288.777251,1440,13.433755
-1025593.683316,1440,14.110494
-1052686.814699,1440,15.384676
-1024504.378496,1440,16.688701
-650050.321827,1440,19.788795
-890793.000104,1440,21.074611
-850257.802749,1440,22.370379
-637964.631341,1440,23.054076
-665942.629547,1440,24.348365
-352877.383421,1440,25.647781
-641561.971338,1440,26.909459
-372125.027813,1440,30.018124
-653073.416102,1440,31.281933
-738434.736843,1440,32.547062
-878442.107798,1440,33.213186
-690228.782697,1440,34.48199
-375773.533747,1440,35.749119
-839954.048177,1440,36.414887
-741223.634207,1440,48.119366
-848695.285191,1440,49.549195
-739355.118707,1440,50.911083
-869562.298355,1440,51.585536
-652807.25049,1440,52.947096
-972447.893818,1440,54.36068
-881151.509937,1440,55.025801
-861600.797543,1440,58.743173
-699523.545919,1440,63.774725
-376844.239606,1440,68.730204
-721086.289722,1440,69.408814
-870909.466751,1440,70.716212
-658608.64254,1440,72.014185
-881249.91837,1440,72.691505
-998687.304899,1440,76.521129
-839730.993699,1440,77.814331
-1066455.230089,1440,78.485283
-412888.782086,1440,79.782535
-689050.131704,1440,81.078474
-736124.671346,1440,82.407793
-1023434.677993,1440,83.073735
-834389.630088,1440,94.146513
-940942.943065,1440,95.433265
-382412.491285,1440,96.111581
-969618.101597,1440,97.408558
-954637.824463,1440,98.707767
-674067.23727,1440,99.379292
-378218.317856,1440,100.746945
-384149.200444,1440,104.508085
-704004.687869,1440,105.815894
-821933.354493,1440,106.494741
-831046.301543,1440,107.808456
-1032584.418177,1440,111.597774
-1005141.844311,1440,117.152249
-877022.137012,1440,118.439638
-842619.152555,1440,122.192795
-956099.133828,1440,122.862815
-380066.528021,1440,124.176121
-346382.140142,1440,125.481828
-364328.390228,1440,126.807413
-1008259.665569,1440,127.481964
-661536.265203,1440,128.830335
